商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
完达山,0.41,中国大陆,国产,0-0.5岁,袋装,常规配方奶粉,牛奶粉,1段,166,898
伊利,0.8,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,165,898
美赞臣,1,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,168,895
伊利,0.9,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,168,895
辉山,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,167,895
美赞臣,0.6,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,167,895
惠氏,1.2,其它　,进口,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,168,883
康维多,1,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,168,871
澳优,0.8,荷兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,169,867
惠氏,0.9,其它　,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,169,860
圣元,0.47,澳洲/新西兰,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,169,860
康维多,1,荷兰,进口,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,169,860
诺优能,0.8,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,169,855
圣元,1.1,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,169,855
惠氏,1.2,其它　,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,172,850
羊羊,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,170,850
完达山,1.032,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,173,831
贝因美,0.55,其它　,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,173,831
